2/13/2024, 4:00 PM						
User Name						
Experimental Description						
Header A (units)	Header B (u)	Header C (u)	Header D (u)			
0.161495	350.000000	41.468424	342.314982	350.000000	0.200000	1.000000
0.161995	350.000000	41.641587	342.219208	350.000000	0.200000	1.000000
0.162495	350.000000	41.815288	342.116365	350.000000	0.200000	1.000000
0.162995	350.000000	41.989098	342.037111	350.000000	0.200000	1.000000
0.163495	350.000000	42.162653	342.050345	350.000000	0.200000	1.000000
0.163995	350.000000	42.336016	342.134615	350.000000	0.200000	1.000000
0.164495	350.000000	42.509241	342.267163	350.000000	0.200000	1.000000
0.164995	350.000000	42.682378	342.469017	350.000000	0.200000	1.000000
0.165495	350.000000	42.855829	342.727100	350.000000	0.200000	1.000000
0.165995	350.000000	43.029566	342.991763	350.000000	0.200000	1.000000
0.166495	350.000000	43.203199	343.243915	350.000000	0.200000	1.000000
0.166996	350.000000	43.376401	343.564883	350.000000	0.200000	1.000000
0.167496	350.000000	43.549270	344.032809	350.000000	0.200000	1.000000
0.167996	350.000000	43.721890	344.625961	350.000000	0.200000	1.000000
0.168496	350.000000	43.894336	345.313294	350.000000	0.200000	1.000000
0.168996	350.000000	44.066674	346.072764	350.000000	0.200000	1.000000
0.169496	350.000000	44.238597	346.826739	350.000000	0.200000	1.000000
0.169996	350.000000	44.410219	347.480742	350.000000	0.200000	1.000000
0.170496	350.000000	44.581636	348.001609	350.000000	0.200000	1.000000
0.170996	350.000000	44.752934	348.350466	350.000000	0.200000	1.000000
0.171496	350.000000	44.924548	348.458721	350.000000	0.200000	1.000000
0.171996	350.000000	45.096476	348.354032	350.000000	0.200000	1.000000
0.172496	350.000000	45.268348	348.145335	350.000000	0.200000	1.000000
0.172996	350.000000	45.440221	347.865066	350.000000	0.200000	1.000000
0.173496	350.000000	45.612137	347.484963	350.000000	0.200000	1.000000
0.173997	350.000000	45.783774	347.031402	350.000000	0.200000	1.000000
0.174497	350.000000	45.955225	346.503578	350.000000	0.200000	1.000000
0.174997	350.000000	46.126934	345.864017	350.000000	0.200000	1.000000
0.175497	350.000000	46.299269	345.147261	350.000000	0.200000	1.000000
0.175997	350.000000	46.472166	344.416321	350.000000	0.200000	1.000000
0.176497	350.000000	46.645203	343.741692	350.000000	0.200000	1.000000
0.176997	350.000000	46.818385	343.135686	350.000000	0.200000	1.000000
0.177497	350.000000	46.991715	342.611339	350.000000	0.200000	1.000000
0.177997	350.000000	47.164830	342.221929	350.000000	0.200000	1.000000
0.178497	350.000000	47.337793	342.011013	350.000000	0.200000	1.000000
0.178997	350.000000	47.511021	341.975079	350.000000	0.200000	1.000000
0.179497	350.000000	47.684495	342.053958	350.000000	0.200000	1.000000
0.179997	350.000000	47.857837	342.226463	350.000000	0.200000	1.000000
0.180497	350.000000	48.030728	342.508766	350.000000	0.200000	1.000000
0.180997	350.000000	48.202912	342.907843	350.000000	0.200000	1.000000
0.181498	350.000000	48.374543	343.466139	350.000000	0.200000	1.000000
0.181998	350.000000	48.546123	344.185279	350.000000	0.200000	1.000000
0.182498	350.000000	48.718073	344.951226	350.000000	0.200000	1.000000
0.182998	350.000000	48.890375	345.676110	350.000000	0.200000	1.000000
0.183498	350.000000	49.062649	346.344258	350.000000	0.200000	1.000000
0.183998	350.000000	49.234940	346.854074	350.000000	0.200000	1.000000
0.184498	350.000000	49.407284	347.109438	350.000000	0.200000	1.000000
0.184998	350.000000	49.579349	347.126894	350.000000	0.200000	1.000000
0.185498	350.000000	49.751222	346.982546	350.000000	0.200000	1.000000
0.185998	350.000000	49.923343	346.722193	350.000000	0.200000	1.000000
0.186498	350.000000	50.095712	346.343829	350.000000	0.200000	1.000000
0.186998	350.000000	50.267965	345.914920	350.000000	0.200000	1.000000
0.187498	350.000000	50.440162	345.487524	350.000000	0.200000	1.000000
0.187998	350.000000	50.612351	345.048613	350.000000	0.200000	1.000000
0.188499	350.000000	50.784212	344.636181	350.000000	0.200000	1.000000
0.188999	350.000000	50.955845	344.329435	350.000000	0.200000	1.000000
0.189499	350.000000	51.127698	344.173530	350.000000	0.200000	1.000000
0.189999	350.000000	51.300141	344.144840	350.000000	0.200000	1.000000
0.190499	350.000000	51.473479	344.133319	350.000000	0.200000	1.000000
0.190999	350.000000	51.647591	344.004453	350.000000	0.200000	1.000000
0.191499	350.000000	51.821637	343.738626	350.000000	0.200000	1.000000
0.191999	350.000000	51.994919	343.426701	350.000000	0.200000	1.000000
0.192499	350.000000	52.167586	343.193328	350.000000	0.200000	1.000000
0.192999	350.000000	52.340134	343.105752	350.000000	0.200000	1.000000
0.193499	350.000000	52.512980	343.122631	350.000000	0.200000	1.000000
0.193999	350.000000	52.686469	343.187442	350.000000	0.200000	1.000000
0.194499	350.000000	52.860518	343.276900	350.000000	0.200000	1.000000
0.194999	350.000000	53.034688	343.375910	350.000000	0.200000	1.000000
