3/14/2024, 9:08 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.117415	113.000000	59.297764	53.258654	113.000000	0.250000	1.000000	494.937487	1.000000
0.117915	113.000000	59.741346	52.814737	113.000000	0.250000	1.000000	495.967813	1.000000
0.118415	113.000000	60.185263	52.372624	113.000000	0.250000	1.000000	496.592525	1.000000
0.118915	113.000000	60.627376	51.933717	113.000000	0.250000	1.000000	496.360488	1.000000
0.119416	113.000000	61.066283	51.499145	113.000000	0.250000	1.000000	494.986084	1.000000
0.119916	113.000000	61.500855	51.069789	113.000000	0.250000	1.000000	492.380041	1.000000
0.120416	113.000000	61.930211	50.645587	113.000000	0.250000	1.000000	488.587126	1.000000
0.120916	113.000000	62.354413	50.226414	113.000000	0.250000	1.000000	483.686203	1.000000
0.121416	113.000000	62.773586	49.812814	113.000000	0.250000	1.000000	477.662105	1.000000
0.121916	113.000000	63.187186	49.405526	113.000000	0.250000	1.000000	470.134901	1.000000
0.122417	113.000000	63.594474	49.004714	113.000000	0.250000	1.000000	459.321697	1.000000
0.122930	113.000000	63.995286	48.610060	113.000000	0.250000	1.000000	433.108004	1.000000
0.123430	113.000000	64.389940	48.221208	113.000000	0.250000	1.000000	428.100187	1.000000
0.123939	113.000000	64.778792	47.837414	113.000000	0.250000	1.000000	423.465200	1.000000
0.124439	113.000000	65.162586	47.457982	113.000000	0.250000	1.000000	419.204426	1.000000
0.124939	113.000000	65.542018	47.082990	113.000000	0.250000	1.000000	415.270213	1.000000
0.125439	113.000000	65.917010	46.712802	113.000000	0.250000	1.000000	411.624441	1.000000
0.125939	113.000000	66.287198	46.347290	113.000000	0.250000	1.000000	408.230517	1.000000
0.126439	113.000000	66.652710	45.985918	113.000000	0.250000	1.000000	405.056337	1.000000
0.126939	113.000000	67.014082	45.628176	113.000000	0.250000	1.000000	402.085533	1.000000
0.127439	113.000000	67.371824	45.273586	113.000000	0.250000	1.000000	399.263341	1.000000
0.127939	113.000000	67.726414	44.922062	113.000000	0.250000	1.000000	396.547758	1.000000
0.128440	113.000000	68.077938	44.573490	113.000000	0.250000	1.000000	393.904354	1.000000
0.128940	113.000000	68.426510	44.227731	113.000000	0.250000	1.000000	391.305634	1.000000
0.129440	113.000000	68.772269	43.884990	113.000000	0.250000	1.000000	388.729844	1.000000
0.129940	113.000000	69.115010	43.544670	113.000000	0.250000	1.000000	386.157160	1.000000
0.130440	113.000000	69.455330	43.206236	113.000000	0.250000	1.000000	383.567837	1.000000
